Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile
B10 0AA,Terminated,E01009363,Birmingham 071B E01009363,604,1
B10 0AB,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0AD,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0AE,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0AH,Terminated,E01009363,Birmingham 071B E01009363,604,1
B10 0AL,Live,E01009379,Birmingham 071E E01009379,70,1
B10 0AP,Terminated,E01009363,Birmingham 071B E01009363,604,1
B10 0AR,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0AS,Terminated,E01009363,Birmingham 071B E01009363,604,1
B10 0AT,Terminated,E01009363,Birmingham 071B E01009363,604,1
B10 0AU,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0AW,Terminated,E01009363,Birmingham 071B E01009363,604,1
B10 0AX,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0AY,Terminated,E01009363,Birmingham 071B E01009363,604,1
B10 0BA,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0BB,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0BD,Live,E01009379,Birmingham 071E E01009379,70,1
B10 0BE,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0BG,Live,E01009379,Birmingham 071E E01009379,70,1
B10 0BH,Live,E01009379,Birmingham 071E E01009379,70,1
B10 0BJ,Live,E01009379,Birmingham 071E E01009379,70,1
B10 0BL,Live,E01009379,Birmingham 071E E01009379,70,1
B10 0BN,Live,E01009379,Birmingham 071E E01009379,70,1
B10 0BP,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0BS,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0BT,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0BU,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0BW,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0BX,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0BY,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0BZ,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0DB,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0DD,Terminated,E01009363,Birmingham 071B E01009363,604,1
B10 0DE,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0DF,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0DG,Live,E01009379,Birmingham 071E E01009379,70,1
B10 0DL,Terminated,E01009363,Birmingham 071B E01009363,604,1
B10 0DN,Terminated,E01009363,Birmingham 071B E01009363,604,1
B10 0DP,Live,E01009363,Birmingham 071B E01009363,604,1
B10 0DQ,Terminated,E01009338,Birmingham 070D E01009338,1853,1
B10 0DR,Terminated,E01033650,Birmingham 077F E01033650,1804,1
B10 0DS,Terminated,E01033650,Birmingham 077F E01033650,1804,1
B10 0DT,Terminated,E01009339,Birmingham 140A E01009339,1800,1
B10 0DU,Terminated,E01033650,Birmingham 077F E01033650,1804,1
B10 0DX,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0DY,Live,E01009379,Birmingham 071E E01009379,70,1
B10 0DZ,Live,E01009379,Birmingham 071E E01009379,70,1
B10 0EA,Live,E01009379,Birmingham 071E E01009379,70,1
B10 0EB,Live,E01009379,Birmingham 071E E01009379,70,1
B10 0ED,Live,E01009329,Birmingham 070A E01009329,2067,1
B10 0EE,Live,E01009329,Birmingham 070A E01009329,2067,1
B10 0EF,Live,E01009329,Birmingham 070A E01009329,2067,1
B10 0EG,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0EH,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0EJ,Terminated,E01009339,Birmingham 140A E01009339,1800,1
B10 0EL,Terminated,E01009339,Birmingham 140A E01009339,1800,1
B10 0EN,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0EP,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0EQ,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0ER,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0ES,Terminated,E01009198,Birmingham 058D E01009198,1760,1
B10 0ET,Terminated,E01009198,Birmingham 058D E01009198,1760,1
B10 0EU,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0EW,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0EX,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0EZ,Terminated,E01009338,Birmingham 070D E01009338,1853,1
B10 0HA,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0HB,Live,E01009337,Birmingham 070C E01009337,2704,1
B10 0HD,Terminated,E01008889,Birmingham 078D E01008889,3516,2
B10 0HE,Terminated,E01009338,Birmingham 070D E01009338,1853,1
B10 0HF,Terminated,E01009198,Birmingham 058D E01009198,1760,1
B10 0HG,Terminated,E01009198,Birmingham 058D E01009198,1760,1
B10 0HH,Live,E01009335,Birmingham 139G E01009335,2779,1
B10 0HJ,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0HL,Terminated,E01009380,Birmingham 070E E01009380,1691,1
B10 0HN,Terminated,E01009380,Birmingham 070E E01009380,1691,1
B10 0HP,Terminated,E01009338,Birmingham 070D E01009338,1853,1
B10 0HQ,Terminated,E01009338,Birmingham 070D E01009338,1853,1
B10 0HR,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0HT,Live,E01009337,Birmingham 070C E01009337,2704,1
B10 0HU,Live,E01009337,Birmingham 070C E01009337,2704,1
B10 0HW,Terminated,E01009338,Birmingham 070D E01009338,1853,1
B10 0HX,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0HY,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0HZ,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0JA,Live,E01009337,Birmingham 070C E01009337,2704,1
B10 0JB,Live,E01009337,Birmingham 070C E01009337,2704,1
B10 0JD,Live,E01009337,Birmingham 070C E01009337,2704,1
B10 0JE,Live,E01009337,Birmingham 070C E01009337,2704,1
B10 0JF,Live,E01009337,Birmingham 070C E01009337,2704,1
B10 0JG,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0JH,Live,E01009337,Birmingham 070C E01009337,2704,1
B10 0JJ,Live,E01009337,Birmingham 070C E01009337,2704,1
B10 0JL,Live,E01009337,Birmingham 070C E01009337,2704,1
B10 0JN,Terminated,E01009198,Birmingham 058D E01009198,1760,1
B10 0JP,Terminated,E01009198,Birmingham 058D E01009198,1760,1
B10 0JQ,Live,E01009338,Birmingham 070D E01009338,1853,1
B10 0JR,Terminated,E01009198,Birmingham 058D E01009198,1760,1
