FID,LSOA code,LSOA11NM,LSOA11NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,LADCD_ACTIVE,UTLACD,CAUTHCD,RGNCD,geometry
8649,E01008881,Birmingham 067A,Birmingham 067A,412690,285442,-1.81463,52.46678,f5489416-627d-4ee3-b843-56e49150147a,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.810425908551119 52.470242994831686, -1.809463006760543 52.47007125168802, -1.809982152250118 52.46683613927455, -1.809269938100007 52.46711582407342, -1.807938559798508 52.465087220985005, -1.808313781304627 52.46502588767549, -1.810139334022147 52.46482403549073, -1.810064740753368 52.46440212337956, -1.811494660143747 52.46429367760092, -1.813380708087277 52.464638670048046, -1.818247702402868 52.46573087039965, -1.819407009109583 52.465443803817415, -1.821233381870723 52.46617349538304, -1.821033915490055 52.466369639909075, -1.821350977999078 52.4671270072017, -1.820250158901287 52.46751355685312, -1.820134375530871 52.46783088952896, -1.819133494573362 52.46832134287196, -1.819852039909073 52.46889368834492, -1.818785221814399 52.46978758984099, -1.818742438768787 52.470535158466504, -1.817936008465697 52.47034258814586, -1.81722436649012 52.46971021119952, -1.816124010081361 52.46995783498862, -1.816864376735206 52.46865422282582, -1.816013011237323 52.46900078386117, -1.815496627950283 52.4684554662828, -1.815709641456842 52.46768684819619, -1.814682526325367 52.46863734865639, -1.814057002998579 52.46853887213019, -1.813276247602389 52.470268018720155, -1.811631700766175 52.47009544798075, -1.812282672061207 52.47069020500092, -1.811125356108277 52.4711588968745, -1.810078301499559 52.47075061496862, -1.810425908551119 52.470242994831686))"
8650,E01008882,Birmingham 066A,Birmingham 066A,411842,285398,-1.82711,52.46641,febd9b79-50bf-467a-be7f-737ea8729ecf,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.82823012795545 52.46906510066999, -1.826388620123553 52.46867342901977, -1.825657063055495 52.468776171181176, -1.825166709997557 52.46756576502185, -1.824201497700078 52.46767542607594, -1.822449870948531 52.466961178303194, -1.821350977999078 52.4671270072017, -1.821033915490055 52.466369639909075, -1.821429133845738 52.46631987792649, -1.822765275835141 52.46637757723988, -1.825433284787149 52.46555066546829, -1.828230739502354 52.465241650753434, -1.82841111387676 52.46480879592154, -1.828587426282264 52.46512486592274, -1.829333316346963 52.46506845168627, -1.830550925360796 52.46452757242871, -1.831045649763884 52.46488804039074, -1.831462913737457 52.46524308301627, -1.8321403681974 52.46501924999591, -1.833060436105291 52.463887631171275, -1.833125751041892 52.46374986344397, -1.834751339305799 52.46373806161363, -1.835382870111788 52.46400787630233, -1.835714768876847 52.46500054426991, -1.832676164565599 52.46669350333782, -1.830266753564083 52.46763419584748, -1.828628499357092 52.46838782363395, -1.82823012795545 52.46906510066999))"
8651,E01008883,Birmingham 078A,Birmingham 078A,412126,285001,-1.82294,52.46283,20bae2a8-8ba2-41a7-9da8-577593700ca3,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.822765275835141 52.46637757723988, -1.821429133845738 52.46631987792649, -1.821033915490055 52.466369639909075, -1.821233381870723 52.46617349538304, -1.819407009109583 52.465443803817415, -1.818247702402868 52.46573087039965, -1.813380708087277 52.464638670048046, -1.816326535079581 52.464125791890055, -1.818618501292175 52.46290387900068, -1.817877716200589 52.46218413616054, -1.819399534545159 52.46207524164042, -1.819397678948852 52.46194944178707, -1.820247217403785 52.46172620865475, -1.821347348628267 52.461747219226304, -1.821616948093399 52.46117414904738, -1.823190308840728 52.46140544239524, -1.823593369411947 52.46038862719459, -1.822620779515262 52.459455478409275, -1.823871362682955 52.45932287181539, -1.823842219763925 52.45980738948222, -1.824517993823465 52.45990846005919, -1.827752432955831 52.45927938479057, -1.828551925148028 52.459751260820994, -1.827320602681746 52.46125315761323, -1.827708977568669 52.46194419071166, -1.827001979533841 52.462440540971556, -1.827870271240351 52.46336958204897, -1.827653751031495 52.46446307971205, -1.826963788270245 52.46490624257548, -1.826310470162537 52.46453094336687, -1.825645443802548 52.46508551210159, -1.825834253004132 52.46536766198274, -1.825433284787149 52.46555066546829, -1.822765275835141 52.46637757723988))"
8652,E01008884,Birmingham 078B,Birmingham 078B,411241,284714,-1.83598,52.46027,5a661dd5-081f-4c6d-aa1d-ba83f10dd4eb,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.825645443802548 52.46508551210159, -1.826310470162537 52.46453094336687, -1.826963788270245 52.46490624257548, -1.827653751031495 52.46446307971205, -1.827870271240351 52.46336958204897, -1.827001979533841 52.462440540971556, -1.827708977568669 52.46194419071166, -1.828624827319821 52.46145399995373, -1.830881234578095 52.46101496140022, -1.83140712236885 52.46128718181171, -1.831750402311391 52.46003806015903, -1.829998177178222 52.459225245335894, -1.831253712192722 52.45886351160492, -1.832872278022996 52.45925725737902, -1.833060129051726 52.45836063486264, -1.834599903560181 52.457623762383825, -1.83347048612054 52.45662429003418, -1.835550290747138 52.45533263448506, -1.839162663213024 52.457459234022515, -1.838066298288071 52.45946251067933, -1.839375474875035 52.45964409262646, -1.840429018073669 52.45907626044967, -1.841699149994954 52.45946697035175, -1.843249490526133 52.45869634104053, -1.846518409626542 52.459219954465716, -1.84587591122727 52.460572510625305, -1.842039489277541 52.46239506160221, -1.840897467180537 52.463312373912906, -1.837171175297702 52.46449690898931, -1.835714768876847 52.46500054426991, -1.835382870111788 52.46400787630233, -1.834751339305799 52.46373806161363, -1.833125751041892 52.46374986344397, -1.833060436105291 52.463887631171275, -1.8321403681974 52.46501924999591, -1.831462913737457 52.46524308301627, -1.831045649763884 52.46488804039074, -1.830550925360796 52.46452757242871, -1.829333316346963 52.46506845168627, -1.828587426282264 52.46512486592274, -1.82841111387676 52.46480879592154, -1.828230739502354 52.465241650753434, -1.825433284787149 52.46555066546829, -1.825834253004132 52.46536766198274, -1.825645443802548 52.46508551210159))"
8653,E01008885,Birmingham 076A,Birmingham 076A,413207,284799,-1.80704,52.46099,042c0c37-d270-4e14-969f-d17b8ff7628f,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.80395433773172 52.46101818291705, -1.804152063898484 52.46083184522124, -1.804684038152979 52.460035409361645, -1.804177652050092 52.459830014806414, -1.804442510451951 52.45929418612946, -1.805401741393752 52.458452848759464, -1.806814492994413 52.45889401724771, -1.80724087256114 52.45744033594115, -1.808553199342772 52.45745640770885, -1.808907582606303 52.45596698529294, -1.809614149982326 52.45593549830355, -1.809150114969109 52.45919236074992, -1.808827618768153 52.46094445043108, -1.810149824166719 52.460850577148776, -1.808804136330309 52.461351075157445, -1.809013046141485 52.46178952176928, -1.809703759201058 52.461975207009885, -1.809363461591829 52.462911916536775, -1.808489399667923 52.46358813216831, -1.808313781304627 52.46502588767549, -1.807938559798508 52.465087220985005, -1.806462212557972 52.46317207085046, -1.804693561046951 52.461730498632136, -1.80395433773172 52.46101818291705))"
8654,E01008886,Birmingham 076B,Birmingham 076B,412803,284715,-1.81299,52.46024,f078d67a-ea48-4ae6-a83e-f14efc73f472,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.808313781304627 52.46502588767549, -1.808489399667923 52.46358813216831, -1.809363461591829 52.462911916536775, -1.809703759201058 52.461975207009885, -1.809013046141485 52.46178952176928, -1.808804136330309 52.461351075157445, -1.810149824166719 52.460850577148776, -1.808827618768153 52.46094445043108, -1.809150114969109 52.45919236074992, -1.809614149982326 52.45593549830355, -1.809663303834957 52.45556929741718, -1.809680434836535 52.45542535895517, -1.811063363254174 52.455260151912185, -1.811855489456851 52.45585475321679, -1.81268023823231 52.45596375608869, -1.814427763990733 52.45567718571473, -1.815555720303586 52.45742922952687, -1.81767525491157 52.45915441082965, -1.816651754533686 52.45953647047851, -1.816202835870164 52.460218897992256, -1.815416599605528 52.46021465489623, -1.815082447332229 52.46190111602561, -1.815684610024103 52.46220771433848, -1.816326535079581 52.464125791890055, -1.813380708087277 52.464638670048046, -1.811494660143747 52.46429367760092, -1.810064740753368 52.46440212337956, -1.810139334022147 52.46482403549073, -1.808313781304627 52.46502588767549))"
8655,E01008887,Birmingham 078C,Birmingham 078C,412346,284663,-1.81972,52.45979,cb2f8872-bcb5-4cbc-a3d4-d17d951670cb,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.815082447332229 52.46190111602561, -1.815416599605528 52.46021465489623, -1.816202835870164 52.460218897992256, -1.816651754533686 52.45953647047851, -1.81767525491157 52.45915441082965, -1.815555720303586 52.45742922952687, -1.814427763990733 52.45567718571473, -1.816036694717767 52.45541182003374, -1.819079264033544 52.45595605015534, -1.819136547596161 52.45668418423182, -1.821839431755993 52.45790193046674, -1.823121522090022 52.457472331490266, -1.823543335341596 52.4576643891551, -1.822991560295645 52.45809336455102, -1.824868566617047 52.45819859523804, -1.825507173174956 52.45771050839694, -1.826379511537057 52.45767870681833, -1.82741240806618 52.456926691953456, -1.829065770116026 52.458334540988936, -1.831253712192722 52.45886351160492, -1.829998177178222 52.459225245335894, -1.831750402311391 52.46003806015903, -1.83140712236885 52.46128718181171, -1.830881234578095 52.46101496140022, -1.828624827319821 52.46145399995373, -1.827708977568669 52.46194419071166, -1.827320602681746 52.46125315761323, -1.828551925148028 52.459751260820994, -1.827752432955831 52.45927938479057, -1.824517993823465 52.45990846005919, -1.823842219763925 52.45980738948222, -1.823871362682955 52.45932287181539, -1.822620779515262 52.459455478409275, -1.823593369411947 52.46038862719459, -1.823190308840728 52.46140544239524, -1.821616948093399 52.46117414904738, -1.821347348628267 52.461747219226304, -1.820247217403785 52.46172620865475, -1.819397678948852 52.46194944178707, -1.819399534545159 52.46207524164042, -1.817877716200589 52.46218413616054, -1.818618501292175 52.46290387900068, -1.816326535079581 52.464125791890055, -1.815684610024103 52.46220771433848, -1.815082447332229 52.46190111602561))"
8656,E01008888,Birmingham 076C,Birmingham 076C,413429,284485,-1.80379,52.45816,5c3b7850-b64a-4164-9f72-66d0b8f52aa0,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.803186966950241 52.46055681475449, -1.797948591521559 52.45783231447892, -1.798541975225901 52.45738363431139, -1.800279284249641 52.45830156123483, -1.802041865470602 52.45701364513861, -1.802456121853615 52.45662770800932, -1.802851580608535 52.45629076962526, -1.804696877538183 52.45462494834238, -1.805388456081466 52.454611217153584, -1.806212515386777 52.45489375773513, -1.80608951443633 52.45523413394316, -1.809663303834957 52.45556929741718, -1.809614149982326 52.45593549830355, -1.808907582606303 52.45596698529294, -1.808553199342772 52.45745640770885, -1.80724087256114 52.45744033594115, -1.806814492994413 52.45889401724771, -1.805401741393752 52.458452848759464, -1.804442510451951 52.45929418612946, -1.804177652050092 52.459830014806414, -1.804684038152979 52.460035409361645, -1.804152063898484 52.46083184522124, -1.80395433773172 52.46101818291705, -1.803905501944014 52.46094370443525, -1.803351784215355 52.46064074943685, -1.803186966950241 52.46055681475449))"
8657,E01008889,Birmingham 078D,Birmingham 078D,411447,283925,-1.83297,52.45317,c1c65991-ec90-41b0-90b9-ebef10d835cb,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.838066298288071 52.45946251067933, -1.839162663213024 52.457459234022515, -1.835550290747138 52.45533263448506, -1.83347048612054 52.45662429003418, -1.834599903560181 52.457623762383825, -1.833060129051726 52.45836063486264, -1.832872278022996 52.45925725737902, -1.831253712192722 52.45886351160492, -1.829065770116026 52.458334540988936, -1.82741240806618 52.456926691953456, -1.825849601768137 52.45607393256843, -1.826826128373966 52.455504543646995, -1.827861916849464 52.45486780769721, -1.827424760730782 52.454380389785456, -1.828331462642655 52.45381131809186, -1.82765176558341 52.45344689214548, -1.827449425573524 52.45338827042936, -1.827731360215767 52.45278634111831, -1.826833497934494 52.45249944643912, -1.826972618406859 52.451828698233456, -1.825186127934954 52.451450526692625, -1.824417332786417 52.451289776525165, -1.824016704020802 52.45185259958864, -1.821768988147265 52.45130537663054, -1.822034681565937 52.45069549173339, -1.821629599851696 52.45054126111533, -1.82233645519921 52.44974399208643, -1.821704480278903 52.44971301591519, -1.821794616630998 52.449110991305865, -1.825211404597818 52.449995746099816, -1.825004127512068 52.45031908958455, -1.825509228008552 52.45047056122739, -1.827064839873598 52.44922388662118, -1.82630211176675 52.44838071635993, -1.824999390333067 52.44909933534985, -1.824240527171344 52.448939744842896, -1.824816887489717 52.44755976791948, -1.824120024390134 52.44693752501361, -1.824175781297797 52.44667989988966, -1.827122528018347 52.44845352645601, -1.830756967181826 52.450740313409305, -1.831877392012587 52.45147911757508, -1.83201766685311 52.45156690623663, -1.834524655956914 52.4522566238918, -1.838436001935471 52.45293627293147, -1.83835873153561 52.45395116636298, -1.841293457880739 52.454992661314876, -1.848850902366146 52.45899065554865, -1.848227856682301 52.45926637804821, -1.847179311152759 52.45899083550475, -1.846518409626542 52.459219954465716, -1.843249490526133 52.45869634104053, -1.841699149994954 52.45946697035175, -1.840429018073669 52.45907626044967, -1.839375474875035 52.45964409262646, -1.838066298288071 52.45946251067933))"
8658,E01008890,Birmingham 089A,Birmingham 089A,412286,284123,-1.82062,52.45493,f1cccca4-c8cd-4799-a82b-b2f10cff3c20,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.823543335341596 52.4576643891551, -1.823121522090022 52.457472331490266, -1.821839431755993 52.45790193046674, -1.819136547596161 52.45668418423182, -1.819079264033544 52.45595605015534, -1.816036694717767 52.45541182003374, -1.813905549938108 52.45477919066593, -1.813849319194672 52.45399332157673, -1.817327790496588 52.45415582821413, -1.817112575299073 52.45365805194828, -1.817602341239808 52.453195417013866, -1.818815845632075 52.453262996279065, -1.819505660338615 52.4529108138566, -1.818491920935721 52.45264622616566, -1.819004545263021 52.45216140606541, -1.81890598738595 52.451661509643635, -1.822332760148659 52.45226769901317, -1.822130935695081 52.45277134019908, -1.822945023179682 52.45287599879979, -1.822933179902362 52.45308485948828, -1.822733961152019 52.45339446965886, -1.822170341464302 52.45322895491807, -1.8220892109086 52.45354488587873, -1.821571071733405 52.453550842800816, -1.822604389387137 52.454316066253554, -1.8230786015812 52.454443871656274, -1.824280472360817 52.45473530504467, -1.824512831875852 52.454442710079476, -1.824963080850478 52.45487117917171, -1.825202802471224 52.454610036288464, -1.826890628479347 52.45469454394184, -1.826826128373966 52.455504543646995, -1.825849601768137 52.45607393256843, -1.82741240806618 52.456926691953456, -1.826379511537057 52.45767870681833, -1.825507173174956 52.45771050839694, -1.824868566617047 52.45819859523804, -1.822991560295645 52.45809336455102, -1.823543335341596 52.4576643891551))"
8659,E01008891,Birmingham 089B,Birmingham 089B,413132,283768,-1.80818,52.45172,176ff3e8-eda8-4862-ae9f-23e94cf9625d,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.811855489456851 52.45585475321679, -1.811063363254174 52.455260151912185, -1.809680434836535 52.45542535895517, -1.809663303834957 52.45556929741718, -1.80608951443633 52.45523413394316, -1.806212515386777 52.45489375773513, -1.805388456081466 52.454611217153584, -1.805991537035826 52.4540804743452, -1.805262360809832 52.453631710068585, -1.805155654225437 52.453101148160094, -1.806164089437685 52.45146291012196, -1.806017879273271 52.45014286454278, -1.805972509662409 52.449728422367514, -1.806693738479365 52.449530445789016, -1.807708050606933 52.44746666696409, -1.808331468510795 52.447581625949624, -1.808512111376674 52.44850403342621, -1.807986952862021 52.44895641053242, -1.80834103081178 52.449367490695494, -1.808053573547096 52.44961301905066, -1.809008178913308 52.45020770549855, -1.809870239551493 52.449944030764605, -1.810227035783629 52.450394499313425, -1.811041002780867 52.450162779410675, -1.810881417698919 52.450440316206475, -1.80985544892378 52.4530206685337, -1.811713791999965 52.45325216315377, -1.813036355538367 52.45219990047003, -1.814062519026072 52.452615887832415, -1.813849319194672 52.45399332157673, -1.813905549938108 52.45477919066593, -1.816036694717767 52.45541182003374, -1.814427763990733 52.45567718571473, -1.81268023823231 52.45596375608869, -1.811855489456851 52.45585475321679))"
8660,E01008892,Birmingham 089C,Birmingham 089C,411975,283928,-1.8252,52.45319,1b086f6b-301f-440d-8b0f-f743810f2adf,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.826890628479347 52.45469454394184, -1.825202802471224 52.454610036288464, -1.824963080850478 52.45487117917171, -1.824512831875852 52.454442710079476, -1.824280472360817 52.45473530504467, -1.8230786015812 52.454443871656274, -1.822604389387137 52.454316066253554, -1.821571071733405 52.453550842800816, -1.8220892109086 52.45354488587873, -1.822170341464302 52.45322895491807, -1.822733961152019 52.45339446965886, -1.822933179902362 52.45308485948828, -1.822945023179682 52.45287599879979, -1.822130935695081 52.45277134019908, -1.822332760148659 52.45226769901317, -1.81890598738595 52.451661509643635, -1.818362100666136 52.45157991963149, -1.818611582328748 52.4510215815835, -1.818821269618069 52.450847658038136, -1.821768988147265 52.45130537663054, -1.824016704020802 52.45185259958864, -1.824417332786417 52.451289776525165, -1.825186127934954 52.451450526692625, -1.826972618406859 52.451828698233456, -1.826833497934494 52.45249944643912, -1.827731360215767 52.45278634111831, -1.827449425573524 52.45338827042936, -1.82765176558341 52.45344689214548, -1.828331462642655 52.45381131809186, -1.827424760730782 52.454380389785456, -1.827861916849464 52.45486780769721, -1.826826128373966 52.455504543646995, -1.826890628479347 52.45469454394184))"
8661,E01008893,Birmingham 089D,Birmingham 089D,412656,283768,-1.81519,52.45173,fb9ae9e3-e680-479b-8ffb-7f48f520403a,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.813849319194672 52.45399332157673, -1.814062519026072 52.452615887832415, -1.813036355538367 52.45219990047003, -1.811713791999965 52.45325216315377, -1.80985544892378 52.4530206685337, -1.810881417698919 52.450440316206475, -1.812395576328442 52.4506200700939, -1.81260800924489 52.45105941754586, -1.812778139307626 52.450848149733595, -1.814926893939886 52.4493618629572, -1.815296861857565 52.44941078874141, -1.816116771740989 52.44896873969952, -1.813744886231164 52.44750601675081, -1.814114983196461 52.446967196934565, -1.815625303042717 52.44741411398399, -1.816354946437159 52.448034470989384, -1.817426235927004 52.448343864363665, -1.817895636483792 52.447795117015986, -1.820554594210942 52.44878127141173, -1.820107576041988 52.44908536394649, -1.818990165987847 52.4491643111551, -1.818954937299213 52.44953180513821, -1.819709741423451 52.44984390301943, -1.818821269618069 52.450847658038136, -1.818611582328748 52.4510215815835, -1.818362100666136 52.45157991963149, -1.81890598738595 52.451661509643635, -1.819004545263021 52.45216140606541, -1.818491920935721 52.45264622616566, -1.819505660338615 52.4529108138566, -1.818815845632075 52.453262996279065, -1.817602341239808 52.453195417013866, -1.817112575299073 52.45365805194828, -1.817327790496588 52.45415582821413, -1.813849319194672 52.45399332157673))"
8662,E01008894,Birmingham 089E,Birmingham 089E,412222,283359,-1.82159,52.44807,ef58e1a6-6d38-40bc-81f0-bf6c96d379f6,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.818990165987847 52.4491643111551, -1.820107576041988 52.44908536394649, -1.820554594210942 52.44878127141173, -1.817895636483792 52.447795117015986, -1.817426235927004 52.448343864363665, -1.816354946437159 52.448034470989384, -1.815625303042717 52.44741411398399, -1.814114983196461 52.446967196934565, -1.81321956363472 52.44647133717455, -1.813809209920128 52.44607742378422, -1.813428455481654 52.44504556116763, -1.813805246831434 52.44479621344364, -1.815190874677667 52.44526063253991, -1.815690757954918 52.44495456396952, -1.816745811316087 52.44536041937621, -1.817239705886889 52.44555774929891, -1.820048723154729 52.44657180926356, -1.821436296286872 52.4466208999331, -1.82365116522674 52.44644236787332, -1.824175781297797 52.44667989988966, -1.824120024390134 52.44693752501361, -1.824816887489717 52.44755976791948, -1.824240527171344 52.448939744842896, -1.824999390333067 52.44909933534985, -1.82630211176675 52.44838071635993, -1.827064839873598 52.44922388662118, -1.825509228008552 52.45047056122739, -1.825004127512068 52.45031908958455, -1.825211404597818 52.449995746099816, -1.821794616630998 52.449110991305865, -1.821704480278903 52.44971301591519, -1.82233645519921 52.44974399208643, -1.821629599851696 52.45054126111533, -1.822034681565937 52.45069549173339, -1.821768988147265 52.45130537663054, -1.818821269618069 52.450847658038136, -1.819709741423451 52.44984390301943, -1.818954937299213 52.44953180513821, -1.818990165987847 52.4491643111551))"
8663,E01008895,Birmingham 089F,Birmingham 089F,412880,283226,-1.81191,52.44686,134eb263-656d-4ee9-ac65-c5b8aea1b527,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.810881417698919 52.450440316206475, -1.811041002780867 52.450162779410675, -1.810227035783629 52.450394499313425, -1.809870239551493 52.449944030764605, -1.809008178913308 52.45020770549855, -1.808053573547096 52.44961301905066, -1.80834103081178 52.449367490695494, -1.807986952862021 52.44895641053242, -1.808512111376674 52.44850403342621, -1.808331468510795 52.447581625949624, -1.807708050606933 52.44746666696409, -1.808216014907893 52.44650446869778, -1.809133949244999 52.445440383874434, -1.810017299327413 52.445264341012326, -1.809558672091786 52.44481285097021, -1.810003412723189 52.44438856631359, -1.811884014884098 52.44315356787274, -1.812226483194693 52.44299961769845, -1.813012217536035 52.44364505906983, -1.815690757954918 52.44495456396952, -1.815190874677667 52.44526063253991, -1.813805246831434 52.44479621344364, -1.813428455481654 52.44504556116763, -1.813809209920128 52.44607742378422, -1.81321956363472 52.44647133717455, -1.814114983196461 52.446967196934565, -1.813744886231164 52.44750601675081, -1.816116771740989 52.44896873969952, -1.815296861857565 52.44941078874141, -1.814926893939886 52.4493618629572, -1.812778139307626 52.450848149733595, -1.81260800924489 52.45105941754586, -1.812395576328442 52.4506200700939, -1.810881417698919 52.450440316206475))"
8664,E01008896,Birmingham 066B,Birmingham 066B,412398,286061,-1.8189,52.47235,6053e7b3-f3d6-4669-a6b0-44fd75163e58,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.816922457045192 52.473119502548435, -1.816395711103562 52.47270340787207, -1.815652622676805 52.47297430878148, -1.815088335117957 52.47264765949181, -1.814420898127058 52.472921246348754, -1.814054780305848 52.472395401190276, -1.815095590641159 52.47209241359975, -1.815477258386425 52.47108459330593, -1.816322759470865 52.47045965586982, -1.816955887176714 52.47029738661039, -1.817379576066334 52.47060550689103, -1.817936008465697 52.47034258814586, -1.818742438768787 52.470535158466504, -1.818785221814399 52.46978758984099, -1.819592962634373 52.470039786957855, -1.820794318621729 52.47085480812396, -1.822789253809029 52.470767863926916, -1.823405835035292 52.47110871374442, -1.822794722216701 52.47151497560091, -1.823763400351311 52.47226720069496, -1.823647559300926 52.47231078256975, -1.823583333266296 52.47233593711688, -1.821725296520812 52.47343364912902, -1.821373404566176 52.474899573329736, -1.818219976490888 52.47442552380723, -1.816876869719363 52.474265258888835, -1.816408221118689 52.47370683488889, -1.816922457045192 52.473119502548435))"
