LSOA code,LSOA name_x,Month,Longitude,Latitude,crime_type_ID,crime_ID
E01009417,Birmingham 001A,2023-09,-1.84979,52.590937,type1,id_1
E01009419,Birmingham 001C,2023-09,-1.84988,52.599163,type1,id_2
E01009415,Birmingham 002A,2023-09,-1.833485,52.597208,type1,id_3
E01009425,Birmingham 002D,2023-09,-1.829274,52.586594,type1,id_4
E01009425,Birmingham 002D,2023-09,-1.832528,52.588846,type1,id_5
E01009420,Birmingham 003B,2023-09,-1.818876,52.592099,type1,id_6
E01009420,Birmingham 003B,2023-09,-1.821353,52.589055,type1,id_7
E01009420,Birmingham 003B,2023-09,-1.821353,52.589055,type1,id_8
E01009424,Birmingham 004B,2023-09,-1.824293,52.566135,type1,id_9
E01009424,Birmingham 004B,2023-09,-1.818207,52.562331,type1,id_10
E01009430,Birmingham 004E,2023-09,-1.831358,52.566712,type1,id_11
E01009445,Birmingham 005A,2023-09,-1.791608,52.564545,type1,id_12
E01009445,Birmingham 005A,2023-09,-1.79199,52.564914,type1,id_13
E01009447,Birmingham 005C,2023-09,-1.794891,52.562852,type1,id_14
E01009448,Birmingham 005D,2023-09,-1.789443,52.561929,type1,id_15
E01009452,Birmingham 005E,2023-09,-1.789269,52.563327,type1,id_16
E01009432,Birmingham 006A,2023-09,-1.805803,52.560578,type1,id_17
E01009432,Birmingham 006A,2023-09,-1.809485,52.561221,type1,id_18
E01009432,Birmingham 006A,2023-09,-1.805803,52.560578,type1,id_19
E01009435,Birmingham 006B,2023-09,-1.798379,52.554965,type1,id_20
E01009444,Birmingham 006D,2023-09,-1.802407,52.571126,type1,id_21
E01009454,Birmingham 006E,2023-09,-1.808504,52.556824,type1,id_22
E01009221,Birmingham 007A,2023-09,-1.885863,52.552582,type1,id_23
E01009221,Birmingham 007A,2023-09,-1.883484,52.554252,type1,id_24
E01009221,Birmingham 007A,2023-09,-1.885863,52.552582,type1,id_25
E01009221,Birmingham 007A,2023-09,-1.885863,52.552582,type1,id_26
E01009464,Birmingham 007B,2023-09,-1.879114,52.566707,type1,id_27
E01009464,Birmingham 007B,2023-09,-1.879114,52.566707,type1,id_28
E01009467,Birmingham 007D,2023-09,-1.867574,52.553012,type1,id_29
E01009467,Birmingham 007D,2023-09,-1.867574,52.553012,type1,id_30
E01009467,Birmingham 007D,2023-09,-1.867574,52.553012,type1,id_31
E01009220,Birmingham 008A,2023-09,-1.898377,52.555875,type1,id_32
E01009233,Birmingham 008D,2023-09,-1.89233,52.561785,type1,id_33
E01009233,Birmingham 008D,2023-09,-1.885611,52.55891,type1,id_34
E01009449,Birmingham 009A,2023-09,-1.825226,52.561525,type1,id_35
E01009449,Birmingham 009A,2023-09,-1.825681,52.562155,type1,id_36
E01009449,Birmingham 009A,2023-09,-1.824666,52.565237,type1,id_37
E01009449,Birmingham 009A,2023-09,-1.821962,52.562554,type1,id_38
E01009449,Birmingham 009A,2023-09,-1.823356,52.560839,type1,id_39
E01009451,Birmingham 009B,2023-09,-1.8216,52.560944,type1,id_40
E01009453,Birmingham 009C,2023-09,-1.819004,52.553577,type1,id_41
E01009470,Birmingham 010C,2023-09,-1.859588,52.555089,type1,id_42
E01009473,Birmingham 010E,2023-09,-1.857105,52.547498,type1,id_43
E01009473,Birmingham 010E,2023-09,-1.859947,52.548895,type1,id_44
E01009473,Birmingham 010E,2023-09,-1.862047,52.551846,type1,id_45
E01009473,Birmingham 010E,2023-09,-1.862395,52.548844,type1,id_46
E01009474,Birmingham 010F,2023-09,-1.841189,52.548683,type1,id_47
E01009127,Birmingham 011A,2023-09,-1.870086,52.551154,type1,id_48
E01009133,Birmingham 011E,2023-09,-1.878306,52.543908,type1,id_49
E01009134,Birmingham 011F,2023-09,-1.884986,52.543933,type1,id_50
E01009134,Birmingham 011F,2023-09,-1.884986,52.543933,type1,id_51
E01009137,Birmingham 011G,2023-09,-1.879896,52.539693,type1,id_52
E01009137,Birmingham 011G,2023-09,-1.874383,52.53905,type1,id_53
E01009440,Birmingham 012D,2023-09,-1.799766,52.538596,type1,id_54
E01009440,Birmingham 012D,2023-09,-1.799766,52.538596,type1,id_55
E01009223,Birmingham 013A,2023-09,-1.910071,52.551162,type1,id_56
E01009225,Birmingham 013B,2023-09,-1.903567,52.543329,type1,id_57
E01009225,Birmingham 013B,2023-09,-1.898226,52.551002,type1,id_58
E01009227,Birmingham 013C,2023-09,-1.891678,52.544811,type1,id_59
E01009122,Birmingham 014B,2023-09,-1.874551,52.542133,type1,id_60
E01009136,Birmingham 014E,2023-09,-1.859099,52.542026,type1,id_61
E01009243,Birmingham 016B,2023-09,-1.917397,52.543753,type1,id_62
E01009245,Birmingham 016C,2023-09,-1.929383,52.544875,type1,id_63
E01009231,Birmingham 017D,2023-09,-1.883484,52.537378,type1,id_64
E01009003,Birmingham 018B,2023-09,-1.820768,52.533263,type1,id_65
E01009003,Birmingham 018B,2023-09,-1.828197,52.533607,type1,id_66
E01009003,Birmingham 018B,2023-09,-1.828197,52.533607,type1,id_67
E01009003,Birmingham 018B,2023-09,-1.828197,52.533607,type1,id_68
E01009003,Birmingham 018B,2023-09,-1.828197,52.533607,type1,id_69
E01009003,Birmingham 018B,2023-09,-1.828197,52.533607,type1,id_70
E01009460,Birmingham 018E,2023-09,-1.845586,52.539771,type1,id_71
E01009462,Birmingham 018F,2023-09,-1.828803,52.537096,type1,id_72
E01009462,Birmingham 018F,2023-09,-1.828261,52.536223,type1,id_73
E01009462,Birmingham 018F,2023-09,-1.828803,52.537096,type1,id_74
E01009462,Birmingham 018F,2023-09,-1.828803,52.537096,type1,id_75
E01009462,Birmingham 018F,2023-09,-1.827712,52.536932,type1,id_76
E01009462,Birmingham 018F,2023-09,-1.833875,52.537049,type1,id_77
E01009244,Birmingham 019C,2023-09,-1.906961,52.541794,type1,id_78
E01009244,Birmingham 019C,2023-09,-1.906961,52.541794,type1,id_79
E01009244,Birmingham 019C,2023-09,-1.908375,52.542641,type1,id_80
E01009248,Birmingham 019D,2023-09,-1.902894,52.540811,type1,id_81
E01009248,Birmingham 019D,2023-09,-1.900405,52.539686,type1,id_82
E01009248,Birmingham 019D,2023-09,-1.900405,52.539686,type1,id_83
E01009404,Birmingham 020B,2023-09,-1.857333,52.536369,type1,id_84
E01009405,Birmingham 020C,2023-09,-1.851426,52.530465,type1,id_85
E01009439,Birmingham 021A,2023-09,-1.806069,52.536953,type1,id_86
E01009443,Birmingham 021D,2023-09,-1.782436,52.53096,type1,id_87
E01009123,Birmingham 022A,2023-09,-1.872721,52.532674,type1,id_88
E01009123,Birmingham 022A,2023-09,-1.878836,52.533453,type1,id_89
E01009123,Birmingham 022A,2023-09,-1.868472,52.533694,type1,id_90
E01009124,Birmingham 022B,2023-09,-1.877524,52.5284,type1,id_91
E01009124,Birmingham 022B,2023-09,-1.877524,52.5284,type1,id_92
E01009125,Birmingham 022C,2023-09,-1.872879,52.523675,type1,id_93
E01009002,Birmingham 023A,2023-09,-1.843347,52.534877,type1,id_94
E01009002,Birmingham 023A,2023-09,-1.843347,52.534877,type1,id_95
E01009002,Birmingham 023A,2023-09,-1.842039,52.533977,type1,id_96
E01009002,Birmingham 023A,2023-09,-1.842681,52.535685,type1,id_97
E01009006,Birmingham 023C,2023-09,-1.843541,52.530266,type1,id_98
E01009007,Birmingham 023D,2023-09,-1.841763,52.524528,type1,id_99
E01009007,Birmingham 023D,2023-09,-1.842565,52.52265,type1,id_100
E01009007,Birmingham 023D,2023-09,-1.835555,52.525131,type1,id_101
E01009007,Birmingham 023D,2023-09,-1.841763,52.524528,type1,id_102
E01009007,Birmingham 023D,2023-09,-1.839638,52.525091,type1,id_103
E01009007,Birmingham 023D,2023-09,-1.837781,52.525143,type1,id_104
E01009007,Birmingham 023D,2023-09,-1.837781,52.525143,type1,id_105
E01009240,Birmingham 024C,2023-09,-1.920197,52.5284,type1,id_106
E01009240,Birmingham 024C,2023-09,-1.920197,52.5284,type1,id_107
E01009241,Birmingham 024D,2023-09,-1.917288,52.531095,type1,id_108
E01009242,Birmingham 024E,2023-09,-1.903855,52.517944,type1,id_109
E01009242,Birmingham 024E,2023-09,-1.903855,52.517944,type1,id_110
E01009242,Birmingham 024E,2023-09,-1.902149,52.517437,type1,id_111
E01009242,Birmingham 024E,2023-09,-1.902865,52.520269,type1,id_112
E01009005,Birmingham 025A,2023-09,-1.816969,52.532241,type1,id_113
E01009009,Birmingham 025B,2023-09,-1.818356,52.524728,type1,id_114
E01009098,Birmingham 025C,2023-09,-1.806741,52.521554,type1,id_115
E01009098,Birmingham 025C,2023-09,-1.802567,52.522221,type1,id_116
E01009100,Birmingham 025D,2023-09,-1.815805,52.525066,type1,id_117
E01009100,Birmingham 025D,2023-09,-1.813049,52.525124,type1,id_118
E01009100,Birmingham 025D,2023-09,-1.814035,52.525413,type1,id_119
E01009100,Birmingham 025D,2023-09,-1.814035,52.525413,type1,id_120
E01009100,Birmingham 025D,2023-09,-1.815253,52.523213,type1,id_121
E01009105,Birmingham 025E,2023-09,-1.801487,52.5232,type1,id_122
E01009105,Birmingham 025E,2023-09,-1.801487,52.5232,type1,id_123
E01009408,Birmingham 026B,2023-09,-1.856456,52.524906,type1,id_124
E01009408,Birmingham 026B,2023-09,-1.857742,52.522476,type1,id_125
E01009408,Birmingham 026B,2023-09,-1.856456,52.524906,type1,id_126
E01009408,Birmingham 026B,2023-09,-1.856456,52.524906,type1,id_127
E01009408,Birmingham 026B,2023-09,-1.860221,52.527518,type1,id_128
E01009408,Birmingham 026B,2023-09,-1.854035,52.526306,type1,id_129
E01009408,Birmingham 026B,2023-09,-1.856456,52.524906,type1,id_130
E01009409,Birmingham 026C,2023-09,-1.849615,52.521239,type1,id_131
E01009409,Birmingham 026C,2023-09,-1.847913,52.523475,type1,id_132
E01009409,Birmingham 026C,2023-09,-1.843545,52.524782,type1,id_133
E01009410,Birmingham 026D,2023-09,-1.858695,52.525322,type1,id_134
E01009410,Birmingham 026D,2023-09,-1.860604,52.527563,type1,id_135
E01009410,Birmingham 026D,2023-09,-1.858695,52.525322,type1,id_136
E01009096,Birmingham 029A,2023-09,-1.785399,52.52185,type1,id_137
E01009096,Birmingham 029A,2023-09,-1.791056,52.5224,type1,id_138
E01009096,Birmingham 029A,2023-09,-1.785922,52.523433,type1,id_139
E01009097,Birmingham 029B,2023-09,-1.780769,52.519423,type1,id_140
E01009101,Birmingham 029D,2023-09,-1.802257,52.512467,type1,id_141
