LSOA code,LSOA name,Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Total population: mid 2015 (excluding prisoners)
E01008881,Birmingham 067A,E08000025,Birmingham,41.179,3924,2,0.232,1642
E01008882,Birmingham 066A,E08000025,Birmingham,59.693,939,1,0.311,1769
E01008883,Birmingham 078A,E08000025,Birmingham,38.636,4684,2,0.23,2050
E01008884,Birmingham 078B,E08000025,Birmingham,44.315,3204,1,0.273,2091
E01008885,Birmingham 076A,E08000025,Birmingham,22.921,12110,4,0.102,1373
E01008886,Birmingham 076B,E08000025,Birmingham,39.518,4415,2,0.202,1616
E01008887,Birmingham 078C,E08000025,Birmingham,46.456,2764,1,0.222,1614
E01008888,Birmingham 076C,E08000025,Birmingham,22.717,12246,4,0.087,1689
E01008889,Birmingham 078D,E08000025,Birmingham,42.823,3516,2,0.212,1801
E01008890,Birmingham 089A,E08000025,Birmingham,31.328,7389,3,0.189,1873
E01008891,Birmingham 089B,E08000025,Birmingham,24.206,11247,4,0.125,1655
E01008892,Birmingham 089C,E08000025,Birmingham,41.546,3845,2,0.292,1575
E01008893,Birmingham 089D,E08000025,Birmingham,30.457,7809,3,0.156,1822
E01008894,Birmingham 089E,E08000025,Birmingham,37.129,5173,2,0.198,1474
E01008895,Birmingham 089F,E08000025,Birmingham,29.323,8344,3,0.142,1854
E01008896,Birmingham 066B,E08000025,Birmingham,54.214,1558,1,0.326,1623
E01008897,Birmingham 067B,E08000025,Birmingham,36.083,5500,2,0.203,1855
E01008898,Birmingham 066C,E08000025,Birmingham,47.742,2526,1,0.276,1704
E01008899,Birmingham 037A,E08000025,Birmingham,64.848,530,1,0.401,1250
E01008901,Birmingham 037C,E08000025,Birmingham,61.057,827,1,0.392,1762
E01008905,Birmingham 040A,E08000025,Birmingham,53.928,1606,1,0.387,1729
E01008906,Birmingham 049A,E08000025,Birmingham,54.427,1532,1,0.397,1818
E01008907,Birmingham 040B,E08000025,Birmingham,67.824,351,1,0.409,1649
E01008909,Birmingham 041D,E08000025,Birmingham,45.386,2990,1,0.319,1755
E01008910,Birmingham 050A,E08000025,Birmingham,50.158,2153,1,0.35,1568
E01008911,Birmingham 049B,E08000025,Birmingham,54.359,1539,1,0.36,1735
E01008913,Birmingham 050B,E08000025,Birmingham,67.372,378,1,0.478,1766
E01008914,Birmingham 050C,E08000025,Birmingham,48.135,2465,1,0.299,3012
E01008915,Birmingham 030A,E08000025,Birmingham,42.113,3688,2,0.266,1631
E01008916,Birmingham 037E,E08000025,Birmingham,63.81,606,1,0.397,1742
E01008917,Birmingham 102A,E08000025,Birmingham,20.608,13845,5,0.122,1327
E01008918,Birmingham 094A,E08000025,Birmingham,54.072,1584,1,0.322,1733
E01008919,Birmingham 095A,E08000025,Birmingham,39.872,4302,2,0.223,1553
E01008920,Birmingham 094B,E08000025,Birmingham,23.332,11829,4,0.125,1335
E01008921,Birmingham 094C,E08000025,Birmingham,35.266,5802,2,0.219,1440
E01008923,Birmingham 102B,E08000025,Birmingham,55.858,1367,1,0.341,1398
E01008924,Birmingham 101A,E08000025,Birmingham,32.098,7054,3,0.164,1458
E01008925,Birmingham 102C,E08000025,Birmingham,18.733,15467,5,0.081,1247
E01008927,Birmingham 102D,E08000025,Birmingham,50.533,2099,1,0.304,1411
E01008928,Birmingham 102E,E08000025,Birmingham,50.213,2148,1,0.33,1481
E01008929,Birmingham 106C,E08000025,Birmingham,62.762,683,1,0.363,1526
E01008930,Birmingham 106D,E08000025,Birmingham,32.371,6936,3,0.209,1933
E01008931,Birmingham 094D,E08000025,Birmingham,51.975,1874,1,0.313,1484
E01008932,Birmingham 111A,E08000025,Birmingham,49.568,2254,1,0.322,1600
E01008933,Birmingham 105A,E08000025,Birmingham,31.465,7311,3,0.207,1553
E01008934,Birmingham 105B,E08000025,Birmingham,19.228,15063,5,0.125,1422
E01008935,Birmingham 111B,E08000025,Birmingham,60.175,907,1,0.371,1734
E01008936,Birmingham 111C,E08000025,Birmingham,34.584,6039,2,0.21,1619
E01008937,Birmingham 115A,E08000025,Birmingham,44.835,3089,1,0.259,1454
E01008938,Birmingham 111D,E08000025,Birmingham,50.959,2031,1,0.302,1637
E01008939,Birmingham 111E,E08000025,Birmingham,40.022,4253,2,0.221,1586
E01008940,Birmingham 115B,E08000025,Birmingham,56.944,1230,1,0.311,1518
E01008941,Birmingham 115C,E08000025,Birmingham,52.436,1812,1,0.287,1552
E01008942,Birmingham 117A,E08000025,Birmingham,42.421,3613,2,0.244,1620
E01008943,Birmingham 117B,E08000025,Birmingham,42.708,3540,2,0.24,1616
E01008944,Birmingham 115D,E08000025,Birmingham,43.49,3363,2,0.243,1671
E01008945,Birmingham 122A,E08000025,Birmingham,33.14,6615,3,0.202,1827
E01008946,Birmingham 122B,E08000025,Birmingham,35.355,5769,2,0.202,1527
E01008947,Birmingham 122C,E08000025,Birmingham,28.231,8911,3,0.128,1399
E01008948,Birmingham 122D,E08000025,Birmingham,21.806,12913,4,0.103,1474
E01008949,Birmingham 122E,E08000025,Birmingham,10.07,24426,8,0.032,1268
E01008950,Birmingham 113A,E08000025,Birmingham,31.513,7291,3,0.166,1408
E01008951,Birmingham 112A,E08000025,Birmingham,20.834,13674,5,0.101,1386
E01008952,Birmingham 112B,E08000025,Birmingham,27.467,9315,3,0.115,1662
E01008953,Birmingham 107A,E08000025,Birmingham,34.644,6013,2,0.213,1520
E01008954,Birmingham 113B,E08000025,Birmingham,21.519,13166,5,0.102,1348
E01008955,Birmingham 112C,E08000025,Birmingham,25.344,10545,4,0.108,1581
E01008956,Birmingham 112D,E08000025,Birmingham,15.361,18582,6,0.087,1468
E01008957,Birmingham 112E,E08000025,Birmingham,32.874,6718,3,0.188,1764
E01008958,Birmingham 113C,E08000025,Birmingham,39.665,4363,2,0.235,1586
E01008959,Birmingham 116A,E08000025,Birmingham,19.466,14852,5,0.126,1731
E01008960,Birmingham 116B,E08000025,Birmingham,18.062,16079,5,0.068,1546
E01008961,Birmingham 116C,E08000025,Birmingham,22.079,12718,4,0.103,1452
E01008962,Birmingham 116D,E08000025,Birmingham,52.052,1863,1,0.377,2005
E01008963,Birmingham 107B,E08000025,Birmingham,38.923,4595,2,0.224,1310
E01008964,Birmingham 107C,E08000025,Birmingham,37.57,5024,2,0.238,1458
E01008965,Birmingham 107D,E08000025,Birmingham,21.124,13467,5,0.091,1519
E01008966,Birmingham 107E,E08000025,Birmingham,58.787,1037,1,0.358,1519
E01008967,Birmingham 110A,E08000025,Birmingham,14.13,19812,7,0.074,1682
E01008968,Birmingham 110B,E08000025,Birmingham,15.081,18841,6,0.077,1762
E01008969,Birmingham 117C,E08000025,Birmingham,22.734,12229,4,0.128,1551
